CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
750,750,23.0,true,0
752,752,23.0,true,0
208,208,568.0,false,1
754,754,23.0,true,0
209,209,569.0,false,2
755,755,23.0,true,0
757,757,23.0,true,0
759,759,23.0,true,0
761,761,23.0,true,0
765,765,23.0,true,0
766,766,23.0,true,0
210,210,580.0,false,1
767,767,23.0,true,0
214,214,578.0,false,2
769,769,23.0,true,0
773,773,23.0,true,0
774,774,23.0,true,0
780,780,23.0,true,0
213,213,591.0,false,1
781,781,23.0,true,0
782,782,23.0,true,0
216,216,590.0,false,2
783,783,23.0,true,0
785,785,23.0,true,0
788,788,23.0,true,0
789,789,23.0,true,0
792,792,23.0,true,0
794,794,23.0,true,0
217,217,601.0,false,1
796,796,23.0,true,0
218,218,602.0,false,2
797,797,23.0,true,0
798,798,23.0,true,0
800,800,23.0,true,0
805,805,23.0,true,0
806,806,23.0,true,0
807,807,23.0,true,0
808,808,23.0,true,0
219,219,613.0,false,1
809,809,23.0,true,0
810,810,23.0,true,0
220,220,614.0,false,2
813,813,23.0,true,0
814,814,23.0,true,0
815,815,23.0,true,0
817,817,23.0,true,0
822,822,23.0,true,0
221,221,625.0,false,1
824,824,23.0,true,0
224,224,624.0,false,2
827,827,23.0,true,0
828,828,23.0,true,0
829,829,23.0,true,0
832,832,23.0,true,0
228,228,632.0,false,1
229,229,633.0,false,2
842,842,23.0,true,0
843,843,23.0,true,0
846,846,23.0,true,0
848,848,23.0,true,0
231,231,643.0,false,1
852,852,23.0,true,0
230,230,646.0,false,2
856,856,23.0,true,0
858,858,23.0,true,0
861,861,23.0,true,0
232,232,656.0,false,1
866,866,23.0,true,0
236,236,654.0,false,2
867,867,23.0,true,0
871,871,23.0,true,0
872,872,23.0,true,0
875,875,23.0,true,0
878,878,23.0,true,0
238,238,664.0,false,1
880,880,23.0,true,0
239,239,665.0,false,2
882,882,23.0,true,0
883,883,23.0,true,0
885,885,23.0,true,0
886,886,23.0,true,0
887,887,23.0,true,0
888,888,23.0,true,0
889,889,23.0,true,0
891,891,23.0,true,0
242,242,674.0,false,1
893,893,23.0,true,0
243,243,675.0,false,2
895,895,23.0,true,0
896,896,23.0,true,0
897,897,23.0,true,0
898,898,23.0,true,0
900,900,23.0,true,0
901,901,23.0,true,0
902,902,23.0,true,0
903,903,23.0,true,0
904,904,23.0,true,0
247,247,683.0,false,1
908,908,23.0,true,0
245,245,687.0,false,2
909,909,23.0,true,0
911,911,23.0,true,0
913,913,23.0,true,0
915,915,23.0,true,0
916,916,23.0,true,0
918,918,23.0,true,0
251,251,693.0,false,1
248,248,698.0,false,2
923,923,23.0,true,0
924,924,23.0,true,0
925,925,23.0,true,0
927,927,23.0,true,0
928,928,23.0,true,0
931,931,23.0,true,0
254,254,704.0,false,1
255,255,705.0,false,2
938,938,23.0,true,0
941,941,23.0,true,0
943,943,23.0,true,0
945,945,23.0,true,0
946,946,23.0,true,0
947,947,23.0,true,0
258,258,714.0,false,1
949,949,23.0,true,0
257,257,717.0,false,2
951,951,23.0,true,0
952,952,23.0,true,0
954,954,23.0,true,0
955,955,23.0,true,0
956,956,23.0,true,0
957,957,23.0,true,0
959,959,23.0,true,0
260,260,726.0,false,1
964,964,23.0,true,0
261,261,727.0,false,2
969,969,23.0,true,0
970,970,23.0,true,0
973,973,23.0,true,0
975,975,23.0,true,0
976,976,23.0,true,0
266,266,734.0,false,1
977,977,23.0,true,0
