CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
20710,83384,18.0,true,0
20686,83310,93.0,false,1
20675,83292,112.0,false,2
20712,83392,18.0,true,0
20690,83321,96.0,false,1
20677,83295,123.0,false,2
20713,83400,18.0,true,0
20715,83411,18.0,true,0
20693,83331,100.0,false,1
20678,83296,136.0,false,2
20716,83416,18.0,true,0
20718,83419,18.0,true,0
20694,83335,110.0,false,1
20679,83297,149.0,false,2
20720,83428,18.0,true,0
20721,83431,18.0,true,0
20699,83350,109.0,false,1
20680,83298,162.0,false,2
20700,83354,119.0,false,1
20681,83299,175.0,false,2
20725,83460,18.0,true,0
20701,83356,131.0,false,1
20709,83382,106.0,false,2
20726,83471,18.0,true,0
20727,83475,18.0,true,0
20728,83476,18.0,true,0
20703,83362,139.0,false,1
20711,83390,112.0,false,2
20729,83484,18.0,true,0
20730,83485,18.0,true,0
20705,83369,146.0,false,1
20714,83401,115.0,false,2
20732,83500,18.0,true,0
20733,83507,18.0,true,0
20708,83378,151.0,false,1
20717,83417,113.0,false,2
20734,83513,18.0,true,0
20735,83516,18.0,true,0
20737,83524,18.0,true,0
20724,83444,99.0,false,1
20719,83425,119.0,false,2
20738,83531,18.0,true,0
20731,83498,59.0,false,1
20722,83434,124.0,false,2
20742,83547,18.0,true,0
20743,83551,18.0,true,0
20736,83518,53.0,false,1
20723,83436,136.0,false,2
20746,83561,18.0,true,0
20739,83540,48.0,false,1
20740,83541,48.0,false,2
20747,83574,18.0,true,0
20741,83544,58.0,false,1
20749,83585,18.0,true,0
20744,83557,48.0,false,2
20750,83587,18.0,true,0
20752,83597,18.0,true,0
20745,83560,59.0,false,2
20755,83606,18.0,true,0
20758,83614,18.0,true,0
20748,83578,55.0,false,2
20751,83590,48.0,false,1
20759,83620,18.0,true,0
20760,83623,18.0,true,0
20753,83603,49.0,false,1
20761,83635,18.0,true,0
20762,83638,18.0,true,0
20763,83642,18.0,true,0
20757,83613,48.0,false,2
20764,83646,18.0,true,0
20754,83604,62.0,false,1
20767,83654,18.0,true,0
20768,83655,18.0,true,0
20769,83661,18.0,true,0
20756,83608,72.0,false,1
20765,83648,48.0,false,2
20770,83680,18.0,true,0
20771,83689,18.0,true,0
20772,83690,18.0,true,0
20766,83653,57.0,false,2
20774,83704,18.0,true,0
20777,83714,18.0,true,0
20773,83696,48.0,false,1
20781,83732,18.0,true,0
20782,83733,18.0,true,0
20775,83711,48.0,false,1
20784,83741,18.0,true,0
20776,83712,48.0,false,2
20787,83748,18.0,true,0
20778,83716,57.0,false,1
20779,83724,50.0,false,2
20780,83731,57.0,false,2
20795,83778,18.0,true,0
20783,83738,64.0,false,2
20796,83787,18.0,true,0
20789,83759,48.0,false,1
20798,83793,18.0,true,0
20799,83794,18.0,true,0
20785,83743,73.0,false,2
20790,83761,60.0,false,1
20786,83746,84.0,false,2
20791,83762,73.0,false,1
20805,83817,18.0,true,0
20788,83750,94.0,false,2
20807,83829,18.0,true,0
20792,83770,79.0,false,1
20811,83838,18.0,true,0
20812,83839,18.0,true,0
20800,83796,62.0,false,2
20793,83772,91.0,false,1
20815,83850,18.0,true,0
20801,83802,70.0,false,2
20794,83774,103.0,false,1
20816,83861,18.0,true,0
20817,83864,18.0,true,0
20802,83803,83.0,false,2
20797,83791,100.0,false,1
20803,83813,87.0,false,2
20821,83884,18.0,true,0
20808,83831,74.0,false,1
20823,83887,18.0,true,0
20825,83892,18.0,true,0
20804,83816,98.0,false,2
20826,83897,18.0,true,0
20827,83899,18.0,true,0
20813,83846,73.0,false,1
20828,83902,18.0,true,0
20806,83819,109.0,false,2
20831,83912,18.0,true,0
20814,83849,84.0,false,1
20809,83832,110.0,false,2
20818,83867,80.0,false,1
20834,83932,18.0,true,0
20835,83934,18.0,true,0
20810,83835,121.0,false,2
20837,83940,18.0,true,0
20819,83872,89.0,false,1
20840,83947,18.0,true,0
20841,83949,18.0,true,0
20842,83950,18.0,true,0
20829,83903,67.0,false,2
20820,83874,101.0,false,1
20843,83958,18.0,true,0
20844,83959,18.0,true,0
20830,83909,75.0,false,2
20850,83969,18.0,true,0
20822,83886,103.0,false,1
20851,83973,18.0,true,0
20852,83974,18.0,true,0
20832,83913,85.0,false,2
20853,83980,18.0,true,0
20854,83982,18.0,true,0
20824,83891,112.0,false,1
20855,83988,18.0,true,0
20833,83924,88.0,false,2
20846,83962,55.0,false,1
20858,83999,18.0,true,0
20859,84000,18.0,true,0
20860,84001,18.0,true,0
20861,84002,18.0,true,0
20862,84003,18.0,true,0
20863,84006,18.0,true,0
20836,83939,87.0,false,2
20847,83963,68.0,false,1
20867,84018,18.0,true,0
20838,83944,96.0,false,2
20868,84022,18.0,true,0
20848,83964,81.0,false,1
20839,83946,108.0,false,2
20849,83965,94.0,false,1
20873,84046,18.0,true,0
20845,83960,108.0,false,2
20864,84011,62.0,false,1
20856,83989,93.0,false,2
20865,84013,74.0,false,1
20876,84077,18.0,true,0
20857,83991,105.0,false,2
20878,84080,18.0,true,0
20866,84017,84.0,false,1
20879,84084,18.0,true,0
20880,84087,18.0,true,0
20881,84088,18.0,true,0
20882,84090,18.0,true,0
20883,84091,18.0,true,0
20874,84055,55.0,false,2
20884,84092,18.0,true,0
20869,84029,86.0,false,1
20875,84061,63.0,false,2
20870,84032,97.0,false,1
20885,84111,18.0,true,0
20877,84079,59.0,false,2
20871,84035,108.0,false,1
20890,84132,18.0,true,0
20893,84136,18.0,true,0
20872,84042,115.0,false,1
20886,84121,48.0,false,2
20897,84152,18.0,true,0
20900,84155,18.0,true,0
20902,84160,18.0,true,0
20887,84128,55.0,false,2
20904,84168,18.0,true,0
20905,84169,18.0,true,0
20907,84178,18.0,true,0
20888,84129,68.0,false,2
20898,84153,48.0,false,1
20908,84185,18.0,true,0
20911,84192,18.0,true,0
20889,84130,81.0,false,2
20899,84154,61.0,false,1
20912,84200,18.0,true,0
20891,84133,92.0,false,2
20901,84158,71.0,false,1
20892,84134,105.0,false,2
20914,84221,18.0,true,0
20903,84165,78.0,false,1
20894,84139,114.0,false,2
20916,84235,18.0,true,0
20917,84236,18.0,true,0
20918,84237,18.0,true,0
20906,84171,86.0,false,1
20920,84248,18.0,true,0
20895,84141,126.0,false,2
20921,84250,18.0,true,0
20909,84187,84.0,false,1
20922,84256,18.0,true,0
20896,84145,136.0,false,2
20926,84265,18.0,true,0
20910,84188,97.0,false,1
20915,84231,64.0,false,2
20913,84220,79.0,false,1
20929,84283,18.0,true,0
20923,84258,51.0,false,2
20919,84239,74.0,false,1
20924,84259,64.0,false,2
20934,84306,18.0,true,0
20928,84282,48.0,false,1
20935,84317,18.0,true,0
20925,84262,75.0,false,2
20937,84325,18.0,true,0
20930,84286,58.0,false,1
20940,84332,18.0,true,0
20927,84279,72.0,false,2
20941,84335,18.0,true,0
20931,84288,70.0,false,1
20945,84347,18.0,true,0
20936,84322,48.0,false,2
20932,84299,73.0,false,1
20947,84355,18.0,true,0
20948,84356,18.0,true,0
20950,84359,18.0,true,0
20938,84326,58.0,false,2
20933,84304,82.0,false,1
20952,84368,18.0,true,0
20953,84369,18.0,true,0
20956,84373,18.0,true,0
20957,84375,18.0,true,0
20939,84330,68.0,false,2
20946,84351,49.0,false,1
20959,84382,18.0,true,0
20960,84384,18.0,true,0
20961,84387,18.0,true,0
20942,84337,75.0,false,2
20949,84357,57.0,false,1
20963,84397,18.0,true,0
20943,84338,88.0,false,2
20951,84363,65.0,false,1
20967,84412,18.0,true,0
20968,84415,18.0,true,0
20944,84346,94.0,false,2
20954,84371,71.0,false,1
20970,84433,18.0,true,0
20964,84400,54.0,false,2
20971,84436,18.0,true,0
20972,84437,18.0,true,0
20955,84372,84.0,false,1
20973,84438,18.0,true,0
20974,84440,18.0,true,0
20975,84443,18.0,true,0
20965,84408,60.0,false,2
20958,84376,94.0,false,1
20966,84411,71.0,false,2
20962,84391,93.0,false,1
20978,84470,18.0,true,0
20979,84472,18.0,true,0
20980,84474,18.0,true,0
20981,84475,18.0,true,0
20969,84422,74.0,false,2
20976,84452,48.0,false,1
20977,84464,50.0,false,1
20987,84499,18.0,true,0
20988,84501,18.0,true,0
20989,84502,18.0,true,0
20990,84503,18.0,true,0
20992,84506,18.0,true,0
20982,84478,48.0,false,2
20993,84508,18.0,true,0
20994,84509,18.0,true,0
20995,84514,18.0,true,0
20983,84483,57.0,false,2
20998,84527,18.0,true,0
20999,84528,18.0,true,0
20991,84505,48.0,false,1
20984,84484,70.0,false,2
21000,84536,18.0,true,0
21001,84538,18.0,true,0
20996,84516,51.0,false,1
20985,84494,74.0,false,2
21003,84551,18.0,true,0
21006,84560,18.0,true,0
21007,84562,18.0,true,0
20997,84518,63.0,false,1
20986,84495,87.0,false,2
21009,84567,18.0,true,0
21002,84546,50.0,false,2
21013,84579,18.0,true,0
21015,84581,18.0,true,0
21016,84584,18.0,true,0
21005,84557,48.0,false,1
21004,84554,56.0,false,2
21019,84597,18.0,true,0
21020,84600,18.0,true,0
21008,84564,55.0,false,1
21022,84605,18.0,true,0
21023,84607,18.0,true,0
21010,84568,65.0,false,1
21017,84592,48.0,false,2
21011,84573,74.0,false,1
21018,84593,61.0,false,2
21012,84577,84.0,false,1
21021,84601,67.0,false,2
21032,84651,18.0,true,0
21014,84580,95.0,false,1
21024,84618,64.0,false,2
21036,84668,18.0,true,0
21037,84669,18.0,true,0
21028,84637,52.0,false,1
21025,84622,74.0,false,2
21029,84641,62.0,false,1
21044,84691,18.0,true,0
21026,84627,83.0,false,2
21030,84643,74.0,false,1
21027,84634,90.0,false,2
21031,84645,86.0,false,1
21047,84717,18.0,true,0
21038,84674,64.0,false,2
21033,84655,90.0,false,1
21048,84733,18.0,true,0
21039,84675,77.0,false,2
21034,84663,96.0,false,1
21051,84747,18.0,true,0
21040,84684,82.0,false,2
21052,84748,18.0,true,0
21035,84664,109.0,false,1
21041,84686,94.0,false,2
21049,84738,49.0,false,1
21042,84687,107.0,false,2
21058,84776,18.0,true,0
21059,84779,18.0,true,0
21050,84746,55.0,false,1
21060,84789,18.0,true,0
21043,84689,119.0,false,2
21061,84796,18.0,true,0
21053,84754,61.0,false,1
21062,84797,18.0,true,0
21045,84699,123.0,false,2
21064,84806,18.0,true,0
21054,84756,73.0,false,1
21066,84811,18.0,true,0
21067,84814,18.0,true,0
21046,84708,128.0,false,2
21055,84758,85.0,false,1
