CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
836,3198.0,0.0,0.0,18.0,true,0
837,3199.0,0.0,0.0,18.0,true,0
839,3203.0,0.0,0.0,18.0,true,0
820,3141.0,11.0,65.0,83.0,false,2
841,3208.0,0.0,0.0,18.0,true,0
825,3169.0,11.0,43.0,61.0,false,1
843,3216.0,0.0,0.0,18.0,true,0
828,3186.0,11.0,34.0,52.0,false,2
826,3174.0,11.0,52.0,70.0,false,1
848,3227.0,0.0,0.0,18.0,true,0
838,3200.0,11.0,34.0,52.0,false,2
850,3238.0,0.0,0.0,18.0,true,0
840,3205.0,11.0,35.0,53.0,false,1
851,3243.0,0.0,0.0,18.0,true,0
852,3245.0,0.0,0.0,18.0,true,0
845,3223.0,11.0,26.0,44.0,false,2
842,3213.0,11.0,41.0,59.0,false,1
854,3256.0,0.0,0.0,18.0,true,0
855,3259.0,0.0,0.0,18.0,true,0
857,3262.0,0.0,0.0,18.0,true,0
846,3224.0,11.0,39.0,57.0,false,2
858,3263.0,0.0,0.0,18.0,true,0
859,3265.0,0.0,0.0,18.0,true,0
844,3218.0,11.0,50.0,68.0,false,1
860,3270.0,0.0,0.0,18.0,true,0
861,3273.0,0.0,0.0,18.0,true,0
847,3226.0,11.0,51.0,69.0,false,2
862,3278.0,0.0,0.0,18.0,true,0
853,3248.0,11.0,34.0,52.0,false,1
866,3290.0,0.0,0.0,18.0,true,0
849,3230.0,11.0,61.0,79.0,false,2
856,3260.0,11.0,36.0,54.0,false,1
869,3300.0,0.0,0.0,18.0,true,0
863,3280.0,11.0,26.0,44.0,false,2
871,3316.0,0.0,0.0,18.0,true,0
867,3291.0,11.0,26.0,44.0,false,1
864,3285.0,11.0,35.0,53.0,false,2
873,3321.0,0.0,0.0,18.0,true,0
875,3323.0,0.0,0.0,18.0,true,0
876,3324.0,0.0,0.0,18.0,true,0
877,3326.0,0.0,0.0,18.0,true,0
878,3328.0,0.0,0.0,18.0,true,0
879,3330.0,0.0,0.0,18.0,true,0
868,3299.0,11.0,32.0,50.0,false,1
865,3288.0,11.0,46.0,64.0,false,2
882,3341.0,0.0,0.0,18.0,true,0
883,3342.0,0.0,0.0,18.0,true,0
870,3311.0,11.0,37.0,55.0,false,2
874,3322.0,11.0,26.0,44.0,false,1
884,3350.0,0.0,0.0,18.0,true,0
885,3351.0,0.0,0.0,18.0,true,0
872,3317.0,11.0,45.0,63.0,false,2
880,3337.0,11.0,26.0,44.0,false,1
889,3371.0,0.0,0.0,18.0,true,0
891,3373.0,0.0,0.0,18.0,true,0
881,3340.0,11.0,37.0,55.0,false,1
886,3354.0,11.0,26.0,44.0,false,2
887,3358.0,11.0,36.0,54.0,false,2
894,3396.0,0.0,0.0,18.0,true,0
895,3397.0,0.0,0.0,18.0,true,0
890,3372.0,11.0,26.0,44.0,false,1
900,3407.0,0.0,0.0,18.0,true,0
888,3368.0,11.0,40.0,58.0,false,2
892,3384.0,11.0,28.0,46.0,false,1
902,3413.0,0.0,0.0,18.0,true,0
903,3414.0,0.0,0.0,18.0,true,0
893,3392.0,11.0,34.0,52.0,false,1
897,3400.0,11.0,26.0,44.0,false,2
896,3399.0,11.0,41.0,59.0,false,1
898,3402.0,11.0,38.0,56.0,false,2
909,3443.0,0.0,0.0,18.0,true,0
899,3406.0,11.0,48.0,66.0,false,2
904,3420.0,11.0,34.0,52.0,false,1
901,3408.0,11.0,60.0,78.0,false,2
905,3428.0,11.0,40.0,58.0,false,1
915,3469.0,0.0,0.0,18.0,true,0
916,3470.0,0.0,0.0,18.0,true,0
918,3473.0,0.0,0.0,18.0,true,0
906,3430.0,11.0,52.0,70.0,false,1
910,3449.0,11.0,33.0,51.0,false,2
921,3488.0,0.0,0.0,18.0,true,0
922,3490.0,0.0,0.0,18.0,true,0
907,3432.0,11.0,64.0,82.0,false,1
911,3452.0,11.0,44.0,62.0,false,2
908,3437.0,11.0,73.0,91.0,false,1
912,3458.0,11.0,52.0,70.0,false,2
926,3517.0,0.0,0.0,18.0,true,0
913,3463.0,11.0,61.0,79.0,false,2
919,3478.0,11.0,46.0,64.0,false,1
931,3526.0,0.0,0.0,18.0,true,0
932,3527.0,0.0,0.0,18.0,true,0
934,3529.0,0.0,0.0,18.0,true,0
935,3531.0,0.0,0.0,18.0,true,0
936,3532.0,0.0,0.0,18.0,true,0
937,3533.0,0.0,0.0,18.0,true,0
914,3464.0,11.0,74.0,92.0,false,2
920,3482.0,11.0,56.0,74.0,false,1
940,3539.0,0.0,0.0,18.0,true,0
942,3547.0,0.0,0.0,18.0,true,0
944,3550.0,0.0,0.0,18.0,true,0
917,3472.0,11.0,80.0,98.0,false,2
923,3497.0,11.0,55.0,73.0,false,1
945,3552.0,0.0,0.0,18.0,true,0
947,3558.0,0.0,0.0,18.0,true,0
924,3500.0,11.0,66.0,84.0,false,1
925,3511.0,11.0,55.0,73.0,false,2
949,3568.0,0.0,0.0,18.0,true,0
952,3578.0,0.0,0.0,18.0,true,0
927,3519.0,11.0,61.0,79.0,false,2
929,3524.0,11.0,56.0,74.0,false,1
955,3585.0,0.0,0.0,18.0,true,0
956,3590.0,0.0,0.0,18.0,true,0
928,3522.0,11.0,72.0,90.0,false,2
933,3528.0,11.0,66.0,84.0,false,1
957,3602.0,0.0,0.0,18.0,true,0
930,3525.0,11.0,83.0,101.0,false,2
938,3534.0,11.0,74.0,92.0,false,1
939,3538.0,11.0,84.0,102.0,false,1
946,3554.0,11.0,68.0,86.0,false,2
941,3542.0,11.0,94.0,112.0,false,1
948,3565.0,11.0,71.0,89.0,false,2
964,3638.0,0.0,0.0,18.0,true,0
966,3646.0,0.0,0.0,18.0,true,0
967,3648.0,0.0,0.0,18.0,true,0
943,3548.0,11.0,102.0,120.0,false,1
950,3569.0,11.0,81.0,99.0,false,2
969,3653.0,0.0,0.0,18.0,true,0
970,3654.0,0.0,0.0,18.0,true,0
971,3661.0,0.0,0.0,18.0,true,0
951,3573.0,11.0,91.0,109.0,false,2
954,3581.0,11.0,83.0,101.0,false,1
974,3666.0,0.0,0.0,18.0,true,0
977,3674.0,0.0,0.0,18.0,true,0
953,3580.0,11.0,98.0,116.0,false,2
958,3604.0,11.0,74.0,92.0,false,1
979,3688.0,0.0,0.0,18.0,true,0
980,3690.0,0.0,0.0,18.0,true,0
959,3605.0,11.0,87.0,105.0,false,1
962,3625.0,11.0,67.0,85.0,false,2
981,3693.0,0.0,0.0,18.0,true,0
984,3701.0,0.0,0.0,18.0,true,0
960,3611.0,11.0,95.0,113.0,false,1
963,3626.0,11.0,80.0,98.0,false,2
986,3711.0,0.0,0.0,18.0,true,0
