CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
23,1.1578342305209426,94.0,9.0,49.0,64.0,false,2,1
28,1.0104186572081129,106.0,10.0,48.0,63.0,false,1,1
42,0.8832414768437375,153.0,0.0,0.0,18.0,true,0,0
24,1.0290386090260086,95.0,10.0,62.0,78.0,false,2,1
46,1.1021143305836523,162.0,0.0,0.0,15.0,true,0,0
47,0.9264950810863699,166.0,0.0,0.0,17.0,true,0,0
29,0.9573543655460053,111.0,10.0,57.0,73.0,false,1,1
25,0.8804543113925907,98.0,11.0,73.0,90.0,false,2,1
49,0.9790168887170959,171.0,0.0,0.0,17.0,true,0,0
35,0.9000814453974371,136.0,11.0,46.0,62.0,false,1,1
51,1.1367134205242457,184.0,0.0,0.0,14.0,true,0,0
27,1.0331271831047726,103.0,10.0,82.0,98.0,false,2,1
53,1.0558066094324114,191.0,0.0,0.0,15.0,true,0,0
36,0.9942905658412576,138.0,10.0,58.0,73.0,false,1,1
54,0.9140840974191256,194.0,0.0,0.0,18.0,true,0,0
39,1.04605862724533,149.0,10.0,50.0,66.0,false,2,1
37,1.0418835782541866,141.0,10.0,69.0,84.0,false,1,1
61,0.9572771279883091,208.0,0.0,0.0,17.0,true,0,0
40,0.984440193977831,150.0,10.0,63.0,79.0,false,2,1
64,0.9696737204005696,219.0,0.0,0.0,17.0,true,0,0
66,0.9489922410413613,221.0,0.0,0.0,17.0,true,0,0
38,0.9705894628920901,144.0,10.0,80.0,95.0,false,1,1
67,0.9389513947087127,223.0,0.0,0.0,17.0,true,0,0
41,0.9502077000745451,152.0,11.0,75.0,92.0,false,2,1
69,0.9749235532342291,235.0,0.0,0.0,17.0,true,0,0
48,0.8616505239735739,168.0,12.0,70.0,87.0,false,1,1
43,1.0365985331715832,154.0,10.0,87.0,103.0,false,2,1
